epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,583.011,2.09057,3.44039,0.01772,0.45734,0.37758,0.34922,0.16299,2.00405,2.4421,0.01885,0.00999341,0.00333114,0.00999341,0.00333114,0.00999341,0.00333114,0.00999341,0.00333114
2,1054.7,2.0587,2.53459,0.01699,0.37929,0.33364,0.29094,0.12827,2.12401,2.65044,0.02115,0.0193336,0.00644454,0.0193336,0.00644454,0.0193336,0.00644454,0.0193336,0.00644454
3,1490.12,2.17929,2.7392,0.01871,0.3012,0.24597,0.18102,0.07145,2.21159,3.05963,0.0223,0.0280138,0.00933795,0.0280138,0.00933795,0.0280138,0.00933795,0.0280138,0.00933795
4,1914.52,2.20755,2.86022,0.01927,0.38689,0.3439,0.28515,0.12371,2.05342,2.62225,0.02036,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2338.5,2.15221,2.68567,0.01829,0.4204,0.38524,0.33954,0.14693,2.05888,2.52368,0.02038,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,2763.01,2.09672,2.55244,0.01778,0.45002,0.40307,0.36748,0.16865,1.97797,2.39192,0.01943,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3187.23,2.06142,2.46594,0.01707,0.48275,0.43626,0.4046,0.18869,1.92166,2.2557,0.01836,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,3611.08,2.03822,2.38486,0.01686,0.48019,0.44891,0.41267,0.19611,1.93163,2.23467,0.01823,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4035.6,2.00902,2.3198,0.01639,0.47973,0.46167,0.43366,0.2093,1.90308,2.19054,0.0179,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,4465.99,1.97715,2.26108,0.01592,0.53062,0.46056,0.45662,0.22876,1.86869,2.10005,0.01754,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,4891.85,1.9567,2.20253,0.01569,0.52466,0.47987,0.47263,0.23892,1.81849,2.05797,0.01686,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,5318.44,1.94095,2.17057,0.01565,0.53544,0.47577,0.47724,0.24008,1.80533,2.08015,0.01679,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,5752.17,1.92491,2.12652,0.01522,0.55823,0.49402,0.51081,0.26589,1.81113,1.99079,0.01661,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,6180.32,1.90709,2.08619,0.01508,0.56844,0.50659,0.52423,0.27291,1.80195,1.93138,0.01666,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,6606.62,1.88722,2.03801,0.01493,0.57474,0.50648,0.53192,0.27688,1.78388,1.93203,0.01632,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,7032.51,1.8711,2.01062,0.0146,0.58011,0.53161,0.54701,0.28871,1.76314,1.90686,0.01602,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,7458.78,1.8564,1.9691,0.01441,0.59409,0.53586,0.55685,0.29658,1.73625,1.89835,0.01571,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,7885.67,1.84365,1.93191,0.01419,0.60511,0.52891,0.56385,0.29879,1.73881,1.85753,0.01575,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,8310.94,1.82568,1.88789,0.01409,0.61469,0.53876,0.57433,0.30807,1.752,1.83828,0.0158,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,8736.03,1.81079,1.85429,0.01382,0.61534,0.54658,0.57904,0.31146,1.74054,1.8205,0.01573,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,9169.73,1.78243,1.71334,0.01628,0.62973,0.54855,0.59171,0.32226,1.72196,1.79739,0.01537,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,9593.96,1.75735,1.66258,0.01588,0.62058,0.55483,0.58979,0.3214,1.75353,1.80866,0.01562,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,10020,1.7333,1.6196,0.0155,0.6277,0.56559,0.60343,0.33185,1.71584,1.78816,0.01519,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,10442.9,1.7122,1.56354,0.01516,0.63108,0.56632,0.60214,0.3308,1.73856,1.76714,0.01537,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,10868.3,1.69061,1.51734,0.01487,0.63556,0.57046,0.60435,0.33485,1.72628,1.7587,0.01528,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,11294.7,1.66805,1.4814,0.01457,0.63498,0.57123,0.60936,0.33716,1.73088,1.75556,0.01532,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,11721.9,1.64882,1.42684,0.01438,0.6533,0.57051,0.61421,0.34138,1.74109,1.74424,0.01547,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,12147.2,1.62797,1.39014,0.01402,0.65202,0.57138,0.61361,0.34153,1.74576,1.73814,0.01549,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,12571.1,1.60752,1.35349,0.01381,0.65242,0.57564,0.61695,0.34321,1.75043,1.73259,0.01551,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,12995.5,1.58725,1.32398,0.01349,0.65454,0.57542,0.61811,0.34424,1.75424,1.73514,0.01557,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
